"","agency_name","position_title","attorney","employer","start_date","end_date","title","notes"
"2383","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","Horty, Springer & Mattern",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2384","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","ICOT Hearing Systems LLC",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2385","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","National Academy of Elder Law Attorneys",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2386","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","National Association of Community Health Centers",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2387","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","National Association for the Support of Long Term Care",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2388","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","Society of Hospital Medicine",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2389","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","U.S. Renal Care, Inc.",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2390","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","Vital Decisions, LLC.",2017,2019,"Representational services (client of Chamber Hill Strategies)",NA
"2391","Health and Human Services","Policy Advisor For Health Policy","Laura Holland Kemper","Chamber Hill Strategies",2017,2019,"Principal",NA
"2392","State","Senior Advisor, Office Of The Director Of Foreign Assistance","James Kulikowski","",2017,NA,"",NA
"2393","U.S. Agency for International Development","Director, Office of Transition Initiatives","Owen Kirby","",2018,NA,"",NA
"2394","Education","Confidential Assistant","Noah Mitchell","",2018,NA,"",NA
"2395","Education","Principal Deputy General Counsel","Reed Darrow Rubinstein","",2019,NA,"",NA
"2396","National Aeronautics and Space Administration","Associate Administrator for Legislative & Intergovernmental Affairs","Suzanne Gillen","",2019,NA,"",NA
"2397","Energy","Special Assistant to the White House Liaison","Michael Arthur Watson","",2018,NA,"",NA
"2398","White House Office","Deputy Assistant to the President for Domestic Policy","Lance Leggitt","",2018,NA,"",NA
"2399","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","Edward & Hannah M. Rutledge Charities",2017,2018,"",NA
"2400","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","Marshfield Clinic",2017,2018,"",NA
"2401","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","Jacobson Rost, Inc",2017,2018,"",NA
"2402","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","MillerCoors LLC",2017,2018,"",NA
"2403","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","Edward & Hannah M. Rutledge Charities",2017,2018,"Board Director",NA
"2404","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","Marshfield Clinic",2017,2018,"Board Member",NA
"2405","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","Jacobson Rost, Inc",2017,2018,"Consultant",NA
"2406","Veterans Affairs","Senior White House Advisor","Thomas Jacob Leinenkugel","MillerCoors LLC",2017,2018,"Consultant",NA
"2407","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",2017,2018,"Law Firm Partner and Chair of Federal Health Policy Group",NA
"2408","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Acelity LP Inc",2017,2018,"client of BDBC&B",NA
"2409","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Advanced Infusion Solutions/Bond Pharmacy Inc.",2017,2018,"client of BDBC&B",NA
"2410","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Agenda Global Inc.",2017,2018,"client of BDBC&B",NA
"2411","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","AHS/Florida Hospital Orlando",2017,2018,"client of BDBC&B",NA
"2412","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Alana Healthcare",2017,2018,"client of BDBC&B",NA
"2413","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","All American Medical Supplies",2017,2018,"client of BDBC&B",NA
"2414","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Althea Group",2017,2018,"client of BDBC&B",NA
"2415","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Arriva Medical",2017,2018,"client of BDBC&B",NA
"2416","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Arthroscopy Association of North America",2017,2018,"client of BDBC&B",NA
"2417","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","CCS Medical, Inc",2017,2018,"client of BDBC&B",NA
"2418","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Compass Laboratory Services LLC",2017,2018,"client of BDBC&B",NA
"2419","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","The Compliance Team Inc",2017,2018,"client of BDBC&B",NA
"2420","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Diabetic/Diabetes Management & Supplies",2017,2018,"client of BDBC&B",NA
"2421","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Direct Pharmacy Source Inc",2017,2018,"client of BDBC&B",NA
"2422","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","EMSI",2017,2018,"client of BDBC&B",NA
"2423","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","E02 Concepts",2017,2018,"client of BDBC&B",NA
"2424","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","eviCore Healthcare",2017,2018,"client of BDBC&B",NA
"2425","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Forrest General Hospital",2017,2018,"client of BDBC&B",NA
"2426","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Great Lakes Medical LLC",2017,2018,"client of BDBC&B",NA
"2427","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Kinetic Concepts",2017,2018,"client of BDBC&B",NA
"2428","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Med-Care Diabetic and Medical Supplies",2017,2018,"client of BDBC&B",NA
"2429","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","MedEnvios Healthcare",2017,2018,"client of BDBC&B",NA
"2430","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","MedSolutions Inc",2017,2018,"client of BDBC&B",NA
"2431","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Molecular Testing Labs",2017,2018,"client of BDBC&B",NA
"2432","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Novant Health",2017,2018,"client of BDBC&B",NA
"2433","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Ochsner Health System",2017,2018,"client of BDBC&B",NA
"2434","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Page Memorial Hospital",2017,2018,"client of BDBC&B",NA
"2435","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","PathGroup Inc",2017,2018,"client of BDBC&B",NA
"2436","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Peoples Health Network",2017,2018,"client of BDBC&B",NA
"2437","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Renaissance RX",2017,2018,"client of BDBC&B",NA
"2438","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","RS Medical Inc",2017,2018,"client of BDBC&B",NA
"2439","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Sanderling Renal Services, LLC",2017,2018,"client of BDBC&B",NA
"2440","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Summit Health & Rehab Services Inc",2017,2018,"client of BDBC&B",NA
"2441","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","United States Medical Supply",2017,2018,"client of BDBC&B",NA
"2442","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","University of New Mexico Medical Group",2017,2018,"client of BDBC&B",NA
"2443","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Valley Health System",2017,2018,"client of BDBC&B",NA
"2444","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Village Practice Management Co LLC",2017,2018,"client of BDBC&B",NA
"2445","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","VerifyMe",2017,2018,"client of BDBC&B",NA
"2446","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Wellmont Health System",2017,2018,"client of BDBC&B",NA
"2447","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Woods Pharmacy",2017,2018,"client of BDBC&B",NA
"2448","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",2017,2018,"Partner and Chair of Federal Health Policy",NA
"2449","Health and Human Services","Senior Advisor to the Secretary","Lance Leggitt","Belle Terra Homeowners Association",2017,2018,"Board Member",NA
"2450","Housing and Urban Development","Senior Counsel","Timothy James Petty","Vitamin Shoppe Industries, Inc.",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2451","Housing and Urban Development","Senior Counsel","Timothy James Petty","State of New Jersey",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2452","Housing and Urban Development","Senior Counsel","Timothy James Petty","Aaron's Inc.",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2453","Housing and Urban Development","Senior Counsel","Timothy James Petty","Gloucester Township",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2454","Housing and Urban Development","Senior Counsel","Timothy James Petty","Bass Pro Shops",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2455","Housing and Urban Development","Senior Counsel","Timothy James Petty","Karim Bandy",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2456","Housing and Urban Development","Senior Counsel","Timothy James Petty","Village Supermarkets, Inc.",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2457","Housing and Urban Development","Senior Counsel","Timothy James Petty","Chris Christie for President, Inc.",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2458","Housing and Urban Development","Senior Counsel","Timothy James Petty","Bolla Mahwah Realty Group",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2459","Housing and Urban Development","Senior Counsel","Timothy James Petty","March Associates Construction, Inc.",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2460","Housing and Urban Development","Senior Counsel","Timothy James Petty","Daimler AG",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2461","Housing and Urban Development","Senior Counsel","Timothy James Petty","Estate of Yueh-Lan Wang",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2462","Housing and Urban Development","Senior Counsel","Timothy James Petty","Anheuser-Busch, LLC",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2463","Housing and Urban Development","Senior Counsel","Timothy James Petty","Trump for America, Inc.",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2464","Housing and Urban Development","Senior Counsel","Timothy James Petty","Amerigas Propane",2017,NA,"Legal services (client of Gibbons P.C.)",NA
"2465","Housing and Urban Development","Senior Counsel","Timothy James Petty","Gibbons P.C.",2017,NA,"Associate Attorney",NA
"2466","Interior","Counselor","Gary Michael Lawkowski","Freedom Partners Chamber of Commerce",2017,NA,"Previous Employer",NA
"2467","Interior","Counselor","Gary Michael Lawkowski","Freedom Partners Chamber of Commerce",2017,NA,"Legal Counsel",NA
"2468","Interior","Counselor","Gary Michael Lawkowski","Civic Discovery, LLC (previously DblDbl Sub, LLC)",2017,NA,"Manager",NA
"2469","Interior","Counselor","Gary Michael Lawkowski","In Pursuit Of, LLC",2017,NA,"Sole Member",NA
"2470","Transportation","Director, Public Affairs","Michael H. Reynard","",2018,NA,"",NA
"2471","Defense","Deputy Director, Developmental Test Evaluation & Prototyping","Timothy Dare","",2018,NA,"",NA
"2472","U.S. Agency for International Development","Deputy Administrator, Agency for International Development","Bonnie Glick","",2019,NA,"",NA
"2473","Justice","White House Liaison and Senior Advisor to the Attorney General","Lindsey De La Torre","",2018,2019,"",NA
"2474","U.S. Agency for International Development","Assistant Administrator for Middle East","Michael Harvey","",2019,NA,"",NA
"2475","Health and Human Services","Director of Congressional Relations","Amanda Christine Anger","",2019,NA,"",NA
"2476","Personnel Management","Deputy Chief Information Officer","David M. Nesting","",2019,NA,"",NA
"2477","Securities and Exchange Commission","Confidential Assistant","Meron Bayu","",2019,NA,"",NA
"2478","Environmental Protection Agency","Senior Advisor to the Administrator","Michael Molina","",2019,NA,"",NA
"2479","Small Business Administration","Regional Administrator, Region X","Michael Jeremy Field","",2019,NA,"",NA
"2480","National Endowment for the Arts","Senior Advisor to the Senior Deputy Chairman","Joshua T. Mauthe","",2019,NA,"",NA
"2481","Small Business Administration","Digital Director","Jessica Seale","",2019,NA,"",NA
"2482","Federal Energy Regulatory Commission","Confidential Assistant","Jennifer Mellon","",2019,NA,"",NA
"2483","Health and Human Services","Deputy Administrator","Thomas James Engels","",2019,NA,"",NA
"2484","Housing and Urban Development","Special Policy Advisor","James Earl Redfield","",2019,NA,"",NA
"2485","Health and Human Services","Director, National Institute On Disability, Independent Living and Rehabilitation Research","Jim Ray Whitehead","",2019,NA,"",NA
"2486","National Credit Union Administration","Vice Chair","Todd M. Harper","",2019,NA,"",NA
"2487","Health and Human Services","Counselor for Public Health and Science","Danielle Lee Steele","",2019,NA,"",NA
"2488","Small Business Administration","National Ombudsman and Assistant Administrator for Regulatory Enforcement Fairness","Stefanie L. Baker","",2019,NA,"",NA
"2489","White House Office","Foreign Policy Advisor, Office of Economic Initiatives","Bari Rogoff","",2017,2019,"",NA
"2490","Small Business Administration","Assistant Administrator for Native American Affairs","Shawn Pensoneau","",2018,NA,"",NA
"2491","White House Office","Special Assistant to the President for Legislative Affairs","Jane Barbara Tschetter Lucas","",2018,NA,"",NA
"2492","White House Office","Special Assistant to the President and Director of the Office of Chief of Staff","Emily Mallon","Trump for America, Inc.",2017,2019,"Employed by the Presidential Transition Team from August 2016 - January 2017 as a Vetting and Research Analyst",NA
"2493","White House Office","Special Assistant to the President and Director of the Office of Chief of Staff","Emily Mallon","Committee on Arrangements, 2016 Republican National Convention",2017,2019,"Employed by the Committee on Arrangements working at the Republican National Convention in Cleveland. I served as both the research coordinator and the Associate Director of Radio and Caucus Operations Team",NA
"2494","Occupational Safety and Health Review Commission","Special Assistant","Heather L. MacDougall","",2017,2019,"",NA
"2495","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Friends of Kip Tom",2017,NA,"Campaign Manager for a Congressional Campaign",NA
"2496","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Friends of Stewart Mills",2017,NA,"Campaign Manager for a Congressional Campaign",NA
"2497","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","58th Presidential Inaugural Committee",2017,NA,"US House Liaison",NA
"2498","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Republican National Committee",2017,NA,"Political Campaign Consulting",NA
"2499","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Donald J. Trump for President, Inc.",2017,NA,"Political Campaign Consulting",NA
"2500","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Scott Walker, Inc.",2017,NA,"South Carolina Political Director",NA
"2501","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Our American Revival",2017,NA,"South Carolina Political Director",NA
"2502","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Bunker Hill Strategies",2017,NA,"Owner",NA
"2503","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Donald J. Trump for President, Inc.",2017,NA,"Colorado State Director",NA
"2504","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Donald J. Trump for President, Inc.",2017,NA,"Minnesota State Director",NA
"2505","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Friends of Stewart Mills",2017,NA,"Campaign Manager",NA
"2506","Veterans Affairs","Special Assistant/White House Liaison","Michael Lukach","Friends of Kip Tom",2017,NA,"Campaign Manager",NA
"2507","Interior","Special Assistant to the Secretary","Katharine M.F. MacGregor","",2017,NA,"",NA
"2508","Housing and Urban Development","Senior Advisor","Ashley Ludlow","Fletcher, Heald & Hildreth, PLC",2017,NA,"Associate Attorney",NA
"2509","Housing and Urban Development","Senior Advisor","Ashley Ludlow","The Law Offices of Daniel D. Barks, LLC",2017,NA,"Associate Attorney",NA
"2510","Environmental Protection Agency","Attorney-Adviser (General)","Joseph Brazauskas","",2018,NA,"",NA
"2511","Environmental Protection Agency","Environmental Engineer","Lynn DeKleva","DuPont",2018,NA,"PS&R Senior Consultant",NA
"2512","Interior","Senior Advisor and Counselor to the Secretary","Downey P. Magallanes","",2017,2018,"",NA
"2513","Homeland Security","Special Assistant","Emily Mallon","",2017,2017,"",NA
"2514","Environmental Protection Agency","Senior Deputy General Counsel","Erik Baptist","American Petroleum Institute",2017,NA,"Provided legal counsel to API",NA
"2515","Environmental Protection Agency","Senior Deputy General Counsel","Erik Baptist","American Petroleum Institute",2017,NA,"Senior Counsel",NA
"2516","Environmental Protection Agency","Senior Deputy General Counsel","Erik Baptist","George Washington University",2017,NA,"Member, Board of Directors",NA
"2517","Health and Human Services","Special Assistant","David Paul Mansdoerfer","California State Senate",2017,NA,"Deputy Chief of Staff: Oversee the district office of California State Senator John Moorlach including a staff of five. Manage constituent relations, local government relations, and district-specific legislation.",NA
"2518","Health and Human Services","Special Assistant","David Paul Mansdoerfer","Clark Strategy Group LLC",2017,NA,"Consultant: Coordinate and oversee marketing and direct mail strategy for political clients.",NA
"2519","Health and Human Services","Special Assistant","David Paul Mansdoerfer","Mansoor for City Council (client of Clark Strategy)",2017,NA,"political consulting",NA
"2520","Health and Human Services","Special Assistant","David Paul Mansdoerfer","Moorlach for Senate (client of Clark Strategy)",2017,NA,"political consulting",NA
"2521","Health and Human Services","Special Assistant","David Paul Mansdoerfer","California State Senate",2017,NA,"Deputy Chief of Staff",NA
"2522","Health and Human Services","Special Assistant","David Paul Mansdoerfer","Clark Strategy Group LLC",2017,NA,"Consultant",NA
"2523","Health and Human Services","Special Assistant","David Paul Mansdoerfer","County of Orange",2017,NA,"Deputy Chief of Staff",NA
"2524","Labor","Special Assistant to the Secretary","Nathan Paul Mehrens","Americans for a Limited Government Research Foundation",2017,NA,"President and Director",NA
"2525","Labor","Special Assistant to the Secretary","Nathan Paul Mehrens","RWP Labor, LLC",2017,NA,"Research, design, and manufacturing of laser-engraved products",NA
"2526","Labor","Special Assistant to the Secretary","Nathan Paul Mehrens","Americans for Limited Government Research Foundation",2017,NA,"President, Director",NA
"2527","Labor","Special Assistant to the Secretary","Nathan Paul Mehrens","Americans for Limited Government",2017,NA,"General Counsel, Director",NA
"2528","Labor","Special Assistant to the Secretary","Nathan Paul Mehrens","RWP Labor, LLC",2017,NA,"Executive Vice President",NA
"2529","Labor","Special Assistant to the Secretary","Nathan Paul Mehrens","Mehrens Enterprises",2017,NA,"Co-Founder",NA
"2530","Small Business Administration","Associate Administrator for Capital Access, Office of Capital Access","William M. Manger","Brock Capital Group",2017,NA,"Consulting and advisory work",NA
"2531","Small Business Administration","Associate Administrator for Capital Access, Office of Capital Access","William M. Manger","Brock Capital Group",2017,NA,"Managing Director (not receiving any income)",NA
"2532","Small Business Administration","Associate Administrator for Capital Access, Office of Capital Access","William M. Manger","Riot Relief Fund",2017,NA,"Trustee",NA
"2533","Small Business Administration","Associate Administrator for Capital Access, Office of Capital Access","William M. Manger","Rose Jackson Milbank Trust",2017,NA,"Trustee",NA
"2534","Labor","Special Assistant to the Secretary","Patrick M. Mannix","Donald J. Trump for President, Inc.",2017,NA,"Campaign Staff",NA
"2535","Labor","Special Assistant to the Secretary","Patrick M. Mannix","Academic Success Academy",2017,NA,"Teacher Assistant",NA
"2536","Labor","Special Assistant to the Secretary","Patrick M. Mannix","Donald J. Trump for President, Inc.",2017,NA,"State Director (RI)/Field Officer ME-02",NA
"2537","Labor","Special Assistant to the Secretary","Patrick M. Mannix","Eastside Management Inc",2017,NA,"Guest Relations Specialist",NA
"2538","Labor","Special Assistant to the Secretary","Patrick M. Mannix","Academic Success Academy",2017,NA,"Assistant Teacher",NA
"2539","Education","Special Assistant","Jessica Marie Newman","The Heritage Foundation",2017,NA,"Special Assistant to the Executive Vice President ",NA
"2540","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Empowered Women",2017,NA,"Event planning.",NA
"2541","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Military and Veteran Caregiver Network",2017,NA,"Former consultant.",NA
"2542","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","National Review",2017,NA,"Former employee.",NA
"2543","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Trump for America, Inc.",2017,NA,"Former consultant.",NA
"2544","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","ProYOGA Corporate Wellness",2017,NA,"Owner.",NA
"2545","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Stockade Publishing",2017,NA,"Former consultant.",NA
"2546","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Tragedy Assistance Program for Survivors",2017,NA,"Former consultant.",NA
"2547","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Trailblazer Group",2017,NA,"Former consultant.",NA
"2548","Defense","Special Assistant to the Secretary of Defense for Protocol","Amy K. Mitchell","Empowered Women",2017,NA,"Officer",NA
"2549","General Services Administration","Associate Administrator for Small Business Utilization","Charles Manger","UBS Financial Services",2017,NA,"Financial Advisor",NA
"2550","General Services Administration","Associate Administrator for Small Business Utilization","Charles Manger","Longstreet & Associates Inc; Donald Quintin",2017,NA,"Real Estate Brokerage",NA
"2551","General Services Administration","Associate Administrator for Small Business Utilization","Charles Manger","Longstreet & Associates Inc; John Pierce",2017,NA,"Real Estate Brokerage",NA
"2552","Health and Human Services","Liaison to the Veterans Administration","Tina Michele McIntosh","Imagine Going There Travel",2017,2018,"Part-time Travel Advisor",NA
"2553","Health and Human Services","Liaison to the Veterans Administration","Tina Michele McIntosh","Jamberry Nails",2017,2018,"Independent Consultant",NA
"2554","Health and Human Services","Senior Advisor to the Commissioner","Carlyle Seward McWilliams","",2017,NA,"",NA
"2555","Export-Import Bank","Senior Advisor","Natalie N. McGarry","Conference of State Bank Supervisors",2017,NA,"Develop policy potions and legislative strategies to advance the interests of state bank regulators; Represent members of CSBS before Congress; Draft testimony; and Lead strategic outreach to stakeholders",NA
"2556","Export-Import Bank","Senior Advisor","Natalie N. McGarry","Conference of State Bank Supervisors",2017,NA,"Senior Director",NA
"2557","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Essent Group Ltd.",2017,2019,"Attend Board Meetings; provide Essent management advice and guidance on housing finance policy and other activities as requested.",NA
"2558","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Essent US Holdings",2017,2019,"Serve as Executive Vice President with various responsibilities as member of senior management team.",NA
"2559","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Essent Group Ltd.",2017,2019,"Member Board of Directors",NA
"2560","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Essent Group Ltd.",2017,2019,"Senior Policy Advisor, Housing Finance",NA
"2561","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Essent US Holdings",2017,2019,"EVP/Vice Chairman",NA
"2562","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Family Charitable Trust",2017,2019,"Trustee",NA
"2563","Housing and Urban Development","Senior Advisor","Adolfo Marzol","Marzol Enterprises, LLC",2017,2019,"Managing Member",NA
"2564","Housing and Urban Development","Special Assistant","Jonathan McCall","Carson America, Inc.",2017,NA,"Iowa Field Director for Dr. Carson's Presidential Campaign",NA
"2565","Housing and Urban Development","Special Assistant","Jonathan McCall","Texans for Greg Abbott",2017,NA,"Regional Director for Governor Abbott's Campaign",NA
"2566","Health and Human Services","Special Assistant","Tyler McGuffee","State of Indiana, Office of Governor Mike Pence",2017,NA,"Healthcare Insurance Policy Director",NA
"2567","Health and Human Services","Special Assistant","Tyler McGuffee","State of Indiana, Indiana Department of Insurance",2017,NA,"Rate Review Business Consultant - Independent Contractor",NA
"2568","Health and Human Services","Special Assistant","Tyler McGuffee","State of Indiana, Office of Governor Mike Pence",2017,NA,"Director of Healthcare and Insurance Policy",NA
"2569","Health and Human Services","Special Assistant","Tyler McGuffee","Darby Shaw and Associates, LLC",2017,NA,"sole proprietor/man ager",NA
"2570","Labor","Senior Policy Advisor","John Robert Martin","",2017,2018,"",NA
"2571","Health and Human Services","Senior Advisor, Office of the Assistant Secretary for Preparedness and Response","Christopher Edward Meekins","FBR Capital Markets",2017,2019,"Offered investment advice based on analysis of policy actions occurring in Washington, D.C.",NA
"2572","Health and Human Services","Senior Advisor, Office of the Assistant Secretary for Preparedness and Response","Christopher Edward Meekins","FBR Capital Markets",2017,2019,"Vice President, Research Analyst",NA
"2573","Health and Human Services","Director of External Affairs","Robert Kyle McGowan","",2017,NA,"",NA
"2574","Interior","White House Liaison","Lori K. Mashburn","Insperity PEO Services, L.P.",2017,NA,"Donald J Trump Jr for President salary while on campaign",NA
"2575","Interior","White House Liaison","Lori K. Mashburn","The Heritage Foundation",2017,NA,"Salary",NA
"2576","Interior","White House Liaison","Lori K. Mashburn","Department of the Interior",2017,NA,"Salary",NA
"2577","Interior","White House Liaison","Lori K. Mashburn","The Heritage Foundation",2017,NA,"Associate Director, Coalition Relations",NA
"2578","Interior","White House Liaison","Lori K. Mashburn","Donald J. Trump for President, Inc.",2017,NA,"Policy coordinator and Advisor",NA
"2579","White House Office","Associate Director, Office of Cabinet Affairs","Emily Jean McBride","",NA,NA,"",NA
"2580","White House Office","Information Services Operator","Michael J. Horton","",NA,NA,"",NA
"2581","Treasury","Special Advisor","Camilo J. Sandoval","",2017,NA,"",NA
"2582","Health and Human Services","Special Assistant","Eric Antonio Miranda-Marin","George Washington University",2017,NA,"Tutor",NA
"2583","Small Business Administration","Senior Advisor for Strategic Communications","Jennifer Millikin","",2017,NA,"",NA
"2584","Interior","Senior Advisor to the Secretary","David A. Mihalic","Delaware North Companies, Inc.",2017,2018,"Professional fees for advising",NA
"2585","Interior","Senior Advisor to the Secretary","David A. Mihalic","Department of Recreation. Parks & Tourism Studies. School of Public Health, Indiana University",2017,2018,"Adjunct Professor",NA
"2586","Interior","Senior Advisor to the Secretary","David A. Mihalic","Heritage Resources Group. LLC",2017,2018,"Principal (and owner)",NA
"2587","Interior","Senior Advisor to the Secretary","David A. Mihalic","Mihalic Fine Art. LLC",2017,2018,"Principal (and owner)",NA
"2588","Defense","Operations Support Officer","Whitney J. Meyers","Trump for America, Inc.",2017,2017,"Landing Team Member",NA
"2589","Housing and Urban Development","Executive Assistant","Allison Mills","",2017,NA,"",NA
"2590","State","Special Assistant, Office Of The Secretary","Amanda Morgan Middlemas","Awakening, Inc.",2017,NA,"Board Member",NA
"2591","State","Special Assistant, Office Of The Secretary","Amanda Morgan Middlemas","Donald J. Trump for President, Inc.",2017,NA,"Employee",NA
"2592","State","Special Assistant, Office Of The Secretary","Amanda Morgan Middlemas","Everyday Haute, LLC",2017,NA,"General Partner",NA
"2593","State","Special Assistant, Office Of The Secretary","Amanda Morgan Middlemas","R.E. Revocable Trust",2017,NA,"Trustee",NA
"2594","Energy","Public Affairs Specialist, Office of the Secretary","Robert Haus","Grassley Works - Grassley for Senate",2017,2018,"Campaign manager for US Senate campaign",NA
"2595","Energy","Public Affairs Specialist, Office of the Secretary","Robert Haus","State of Iowa",2017,2018,"Governor's Office",NA
"2596","Energy","Public Affairs Specialist, Office of the Secretary","Robert Haus","RickPerry.org, Inc.",2017,2018,"Campaign Advisor",NA
