id,name_rus,name_eng,position_rus,position_eng,office_rus,office_eng,date_of_appointment,gender,year_of_birth,age,birth_place_region_rus,birth_place_region_eng,birth_place_location_rus,birth_place_location_eng,university_rus,university_eng,grad_year,ed_level_rus,ed_level_eng,employer_rus,employer_eng,`,emp_region_eng,start_date,end_date,last_title_rus,last_title_eng,2019_fired,2020_fired,image,staff_income,spouse_income,income_2019,income_2018,notes_rus,notes_eng
31,,,,,,,,,,,,,,,,,,,,Военная прокуратура Балтийского флота,The military prosecutor's office of the Baltic Fleet,Калининградская область,Kaliningrad region,,,Военный прокурор,judge advocate,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,Военная прокуратура Северо-Восточного пограничного округа,The military prosecutor's office of the North-East Frontier District,Калининградская область,Kaliningrad region,,,Военный прокурор,judge advocate,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,Калининградское региональное пограничное управление ФСБ России,Kaliningrad regional border department of the Russian FSB,Калининградская область,Kaliningrad region,,,Военный прокурор,judge advocate,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,Прокуратура Северной Осетии,The prosecutor's office of North Ossetia,Северная Осетия — Алания,North Ossetia Alania,,,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
9,Ведерников Владимир Викторович,Vedernikov Vladimir Viktorovich,Прокурор региона,region prosecutor,Башкортостан,Bashkortostan,2019,male,1974,46,Томская область,Tomsk region,Томск,Tomsk,Томский государственный университет,Tomsk State University,1996,специалист,specialist,Прокуратура Томской области,The prosecutor's office in Tomsk region,Томская область,Tomsk region,1997,2000,Помощник прокурора,assistant Attorney,,,https://storage.bash.news/9/F/F/9FF75E7F435DB859.jpg,"2 435 164,00","145,00",,1,,
32,,,,,,,,,,,,,,,,,,,,Военная прокуратура,military prosecutor,Иркутская область,Irkutsk region,1992,2007,"Следователем, старшим следователем, помощником военного прокурора Иркутского гарнизона, прокурором Шелеховского, Сретенского и Новосибирского гарнизонов","Investigator, senior investigator, an assistant military prosecutor of the Irkutsk garrison prosecutor Shelekhov, Candlemas and the Novosibirsk garrison",,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,Прокуратура Тывы,The prosecutor's office in Tuva,Тыва,Tyva,2007,2011,Прокурор региона,region prosecutor,,,,,,,,,
103,Векшин Владимир Павлович,Vekshin Vladimir Pavlovich,Прокурор региона,region prosecutor,Северная Осетия — Алания,North Ossetia Alania,2009,male,1960,60,Архангельская область,Arhangelsk region,,,Уральская государственная юридическая Академия (Свердловский юридический институт),Ural State Law Academy (Sverdlovsk Law Institute),1986,специалист,specialist,Прокуратура Архангельской области,The prosecutor's office of the Arkhangelsk region,Архангельская область,Arhangelsk region,1986,,"следователя прокуратуры Виноградовского района Архангельской области. В 1988 году, Векшин перешел на работу в прокуратуру Исакогорского района города Архангельск, где занял должность заместителя прокурора. В дальнейшем, работал в аппарате прокуратуры Архангельской области, на должности прокурора отдела по надзору за соблюдением законов в исправительно-трудовых учреждениях и прокурора следственной части областной прокуратуры.","investigator Vynohradiv District, Arkhangelsk Region. In 1988, Vekshin joined the prosecutor's office Isakovor district of Arkhangelsk, where he was appointed deputy prosecutor. Later, worked in the prosecutor's office of the Arkhangelsk region, the positions of department prosecutor for the observance of the law in corrective labor institutions and the public prosecutor of the Regional Prosecutor's Office investigation.",1,,https://ruspekh.ru/images/articles/51880/2019-06-10-251_85535-1_072052.jpg,"3 560 607,57","1 171 716,60",1,,на пенсию,
33,,,,,,,,,,,,,,,,,,,,Прокуратура Самарской области,The prosecutor's office of Samara Region,Самарская область,Samara Region,2004,2006,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,Прокуратура Брянской области,The prosecutor's office of the Bryansk region,Брянская область,Bryansk region,2006,2015,Прокурор региона,region prosecutor,,,,,,,,,
110,Винниченко Николай Александрович,Vinnichenko Nikolai Alexandrovich,Заместитель генерального прокурора,Deputy Prosecutor General,Генеральная прокуратура,General prosecutor's Office,2013,male,1965,55,Казахстан,Kazakhstan,"с. Октябрьское, Шемонаихинский район, Восточно-Казахстанская область","Oktyabrskoye, Shemonaikha district of East Kazakhstan region",Санкт-Петербургский государственный университет (Ленинградский государственный университет),Saint Petersburg State University (Leningrad State University),1987,специалист,specialist,Прокуратура Санкт-Петербурга,The prosecutor's office of St. Petersburg,Санкт-Петербург,St. Petersburg,1987,2001,Заместитель прокурора региона,The deputy prosecutor of the region,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Nikolay_Vinnichenko_2020.jpg,"5 278 466,00",,1,,Однокурсник Д.А. Медведева. Построил себе дворец приемов в Екатеринбурге,
34,,,,,,,,,,,,,,,,,,,,Прокуратура Курганской области,The prosecutor's office of Kurgan region,Курганская область,Kurgan region,2006,2015,Прокурор Кургана,Attorney Mound,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,Прокуратура Челябинской области,The Prosecutor's Office of the Chelyabinsk region,Челябинская область,Chelyabinsk region,2015,2019,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,Прокуратура Свердловской области,The prosecutor's office of the Sverdlovsk region,Свердловская область,Sverdlovsk region,2019,2020,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
105,Владимиров Владимир Александрович,Vladimir Vladimirov Alexandrovich,Транспортный прокурор,transport prosecutor,Транспортная прокуратура Северо-Западного федерального округа,Transport prosecutor's office of the North-West Federal District,2019,male,1960,60,Татарстан,Tatarstan,Нижнее Биктимирово Алькеевского района,Nizhnee Biktimirova Alkeyevsky District,Казанский государственный университет,Kazan State University,1982,специалист,specialist,Прокуратура Татарстана,The Prosecutor's Office of Tatarstan,Татарстан,Tatarstan,1982,2004,"начальник отдела по надзору за расследованием особо важных дел и оперативно-розыскной деятельностью прокуратуры Республики Татарстан. набережные челны, Сретенского гарнизона Забайкальского военного округа, Казань","Head of Department for Supervision over Investigation of Especially Important Cases and operational-search activities the prosecutor's office of the Republic of Tatarstan. Naberezhnye Chelny, Sretensky garrison of Trans-Baikal military district, Kazan",,,https://sztproc.ru/uploads/staff/m5ynmgyr98lp.jpg,"5 915 192,48","1 198 084,86",1,,был прокурором Тюменской области 12 лет,
36,,,,,,,,,,,,,,,,,,,,Уральская транспортная прокуратура,Ural Transport Prosecutor's Office,Свердловская область,Sverdlovsk region,2000,2001,Заместитель прокурора,deputy Attorney,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,Прокуратура Ханты-Мансийского автономного округа — Югры,The prosecutor's office of the Khanty-Mansi Autonomous District - Yugra,Ханты-Мансийский автономный округ — Югра,Khanty-Mansi Autonomous District - Yugra,2001,2005,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,Прокуратура Ханты-Мансийского автономного округа — Югры,The prosecutor's office of the Khanty-Mansi Autonomous District - Yugra,Ханты-Мансийский автономный округ — Югра,Khanty-Mansi Autonomous District - Yugra,2005,2007,Прокурор региона,region prosecutor,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,Транспортная прокуратура Московской области,Transport Prosecutor's Office of the Moscow Region,Московская область,Moscow region,2007,2017,Транспортный прокурор,transport prosecutor,,,,,,,,,
19,Войкин Василий Савельевич,Voykin Basil Savelievich,Прокурор региона,region prosecutor,Забайкальский край,Zabaykalsky Krai,2015,male,1965,55,Башкортостан,Bashkortostan,Стерлитамак,Sterlitamak,Уральская государственная юридическая Академия (Свердловский юридический институт),Ural State Law Academy (Sverdlovsk Law Institute),1983,специалист,specialist,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,1983,2001,Зиминский межрайонный прокурор,Zima interdistrict prosecutor,,1,https://lh3.googleusercontent.com/proxy/rdM2yqoSSR0kxpPEmOV9WfIgPjENPmKbUXXQB7JAr2XQhdTI0FrcYqsB431q_nqXImDBorMQsg1c3YwKtrndeyvI_VBCV-d99g,"4 423 790,24","1 073 727,23",,1,,
37,,,,,,,,,,,,,,,,,,,,Управление Генеральной прокуратуры в Северо-Западном федеральном округе,General Prosecutor's Office of the North-West Federal District,Санкт-Петербург,St. Petersburg,2011,2017,Старший прокурор отдела,Senior prosecutor of,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,Прокуратура Ненецкого автономного округа,The prosecutor's office of the Nenets Autonomous Okrug,Ненецкий автономный округ,Nenets Autonomous Okrug,2017,2020,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
11,Войтович Александр Петрович,Wojtowicz Alexander Petrovich,Прокурор региона,region prosecutor,Брянская область,Bryansk region,2015,male,1960,60,Беларусь,Belarus,"Минская область, Вилейский район, Чехи","Minsk region, Vileyka district, Chekhi",Московский государственный юридический университет (Всесоюзный юридический заочный институт),Moscow State Law University (All-Union Correspondence Institute of Law),1989,кандидат юридических наук,Candidate of Legal Sciences,Прокуратура Камчатской области,The prosecutor's office of the Kamchatka area,Камчатский край,Kamchatka Krai,1991,2004,,,,,https://lh3.googleusercontent.com/proxy/LnljhSRYNfqiRtqt3M2G8eANXfBvhMUVnuy_u3fFdgDPJPVLRVu7qV5xkMKUKcQoVsUuzde2SUx7xt7X9BcFo-PlBDLtVg,"3 116 974,17","706 677,12",,,,
38,,,,,,,,,,,,,,,,,,,,Прокуратура Оренбургской области,The prosecutor's office of the Orenburg region,Оренбургская область,Orenburg region,1999,2007,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,Прокуратура Оренбургской области,The prosecutor's office of the Orenburg region,Оренбургская область,Orenburg region,2007,2009,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,Прокуратура Калмыкии,The prosecutor's office in Kalmykia,Калмыкия,Kalmykia,2009,2013,Прокурор региона,region prosecutor,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,Прокуратура Калининградской области,The prosecutor's office of the Kaliningrad region,Калининградская область,Kaliningrad region,2013,2017,Прокурор региона,region prosecutor,,,,,,,,,
22,Воронин Александр Борисович,Voronin Alexander Borisovich,Прокурор региона,region prosecutor,Иркутская область,Irkutsk region,2018,male,1972,48,Иркутская область,Irkutsk region,Шелехов,Shelekhov,Иркутский государственный университет,Irkutsk State University,1994,специалист,specialist,Прокуратура Иркутской области,The Prosecutor's Office of Irkutsk region,Иркутская область,Irkutsk region,1994,1998,Прокурор-криминалист Октябрьского района Иркутска,The prosecutor-criminalist of the Oktyabrsky district of Irkutsk,,,https://www.irkproc.ru/pub/img/QA/publicprosecuto/voronin1.jpg,"3 648 379,97",,,1,,
39,,,,,,,,,,,,,,,,,,,,Прокуратура Красноярского края,The prosecutor's office of the Krasnoyarsk Territory,Красноярский край,Krasnoyarsk region,2006,2015,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2015,2016,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
31,Габриелян Карен Карленович,Gabrielyan Karen Karlenovich,Прокурор региона,region prosecutor,Карелия,Karelia,2011,male,1963,67,Азербайджан,Azerbaijan,Колатак Мардакертского района Нагорно-Карабахской автономной области,Kolatak Martakert region of Nagorno-Karabakh Autonomous Region,Военный университет Министерства обороны,Military University of the Defense Ministry,1986,специалист,specialist,Военная прокуратура Туркменистана,Military Prosecutor's Office of Turkmenistan,Туркменистан,Turkmenistan,1986,,Военный прокурор,judge advocate,,,https://whoiswhopersona.info/wp-content/uploads/2016/11/%D0%93%D0%B0%D0%B1%D1%80%D0%B8%D0%B5%D0%BB%D1%8F%D0%BD-%D0%9A%D0%B0%D1%80%D0%B5%D0%BD-%D0%9A%D0%B0%D1%80%D0%BB%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87a_1.jpg,"5 673 839,00","1 381 194,00",1,,,
40,,,,,,,,,,,,,,,,,,,,Прокуратура Челябинской области,The Prosecutor's Office of the Chelyabinsk region,Челябинская область,Chelyabinsk region,2001,2005,Прокурор ЗАТО Озерск,The prosecutor closed city of Ozersk,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,Прокуратура Челябинской области,The Prosecutor's Office of the Chelyabinsk region,Челябинская область,Chelyabinsk region,2005,2009,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
98,Герасименко Александр Владимирович,Gerasimenko Alexander Vladimirovich,Транспортный прокурор,transport prosecutor,Транспортная прокуратура Уральского федерального округа,Transport prosecutor's office of the Ural Federal District,2020,male,1963,57,Омская область,Omsk region,Омск,Omsk,Томский государственный университет,Tomsk State University,1989,специалист,specialist,Прокуратура Тюменской области,The prosecutor's office of the Tyumen region,Тюменская область,Tyumen region,1989,2006,Глава управления,Head of management,,,http://www.регион89.рф/img/biogrf/Gerasimenko-Aleksandr-Vladimirovich.jpg,"6 015 924,44","804 849,66",,1,"Замешан в преступлении, но получил новую должность главы транспортной прокуратуры Уральского федерального округа",
41,,,,,,,,,,,,,,,,,,,,Управление Генеральной прокуратуры в Северо-Кавказском федеральном округе,General Prosecutor's Office of the North Caucasian Federal District,Ставропольский край,Stavropol region,2012,2017,Глава управления,Head of management,,,,,,,,,
140,Горленко Сергей Владимирович,Gorlenko Sergey Vladimirovich,заместитель начальника управления  Главного управления – начальник отдела,Deputy Head of Department - Head of Division,Генеральная прокуратура,General prosecutor's Office,,male,,,,,,,Московский государственный юридический университет (Всесоюзный юридический заочный институт),Moscow State Law University (All-Union Correspondence Institute of Law),,кандидат юридических наук,Candidate of Legal Sciences,,,,,2003,,,,,,,"3 906 844,00","1 484 029,00",1,,,
42,,,,,,,,,,,,,,,,,,,,Прокуратура Краснодарского края,The Prosecutor's Office of Krasnodar Region,Краснодарский край,Krasnodar region,1987,2002,"Народный судья, помощник прокурора районов","The national judge, the assistant prosecutor districts",,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,Управления Генеральной прокуратуры на Северном Кавказе,The Office of the General Prosecutor's Office in the North Caucasus,Ставропольский край,Stavropol region,2002,2004,Заместитель начальника управления,Deputy head,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,Министерство Юстиции,Department of Justice,Москва,Moscow,2004,2006,"первый заместитель руководителя Департамента судебных приставов, руководитель Главного управления Министерства юстиции Российской Федерации по Центральному федеральному округу, руководитель Управления Министерства юстиции Российской Федерации по Центральному федеральному округу","First Deputy Head of the Department of bailiffs, the head of the Main Department of the Ministry of Justice of the Russian Federation in the Central Federal District, Head of the Ministry of Justice of the Russian Federation in the Central Federal District",,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2006,2009,Прокурор Южного административного округа,Attorney of the Southern Administrative District,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2009,2017,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
64,Грибов Иван Владимирович,Gribov Ivan Vladimirovich,Прокурор региона,region prosecutor,Псковская область,Pskov region,2020,male,1975,45,Марий-Эл,Mari El,,,Саратовская государственная академия права (Саратовский юридический институт),Saratov State Academy of Law (Saratov Law Institute),1997,кандидат юридических наук,Candidate of Legal Sciences,Прокуратура Пензенской области,The prosecutor's office of the Penza region,Пензенская область,Penza region,1997,2018,Заместитель прокурора региона,The deputy prosecutor of the region,,,https://lh3.googleusercontent.com/proxy/3CzPBzGV9cvg3dke8WpZtNy9kJVlPBQsoqrXDAkuZFzAEIC_DJaifwUFvsei4tFRY1DO9nDd_4cFMVTqyXsxpnNb58UJxJsuQvZfdVb8lgYM1Q5EJnC07iAiscld3dM,"3 147 348,13","900 000,00",,1,,
43,,,,,,,,,,,,,,,,,,,,Управление Генеральной прокуратуры в Дальневосточном федеральном округе,General Prosecutor's Office of the Far Eastern Federal District,Хабаровский край,Khabarovsk region,2006,2007,Глава управления,Head of management,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,Прокуратура Калужской области,The prosecutor's office of the Kaluga region,Калужская область,Kaluga region,2007,2011,Прокурор региона,region prosecutor,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,Прокуратура Нижегородской области,The prosecutor's office of Nizhny Novgorod Region,Нижегородская область,Nizhny Novgorod Region,2011,2013,Прокурор региона,region prosecutor,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,Прокуратура Липецкой области,The prosecutor's office of the Lipetsk region,Липецкая область,Lipetsk region,2013,2020,Прокурор региона,region prosecutor,,,,,,,,,
118,Гриднева Марина Евгеньевна,Gridneva Marina Evgenienvna,Старший помощник Генерального прокурора по особым поручениям,Senior Assistant Prosecutor General for Special Assignments,Генеральная прокуратура,General prosecutor's Office,2016,female,,,,,,,Журфак МГУ,journalism faculty of Moscow State University,,специалист,specialist,Газета Московский комсомолец,The newspaper Moskovsky Komsomolets,,,1996,2006,,,,1,http://whoiswho.dp.ru/wiwpictures/7845ea6f-f339-4c5e-aeb5-f55417fa1d34.jpg,,,1,,,
44,,,,,,,,,,,,,,,,,,,,Прокуратура Свердловской области,The prosecutor's office of the Sverdlovsk region,Свердловская область,Sverdlovsk region,2013,2019,Старший помощник прокурора,Senior Assistant Attorney,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,Прокуратура Саратовской области,The prosecutor's office Saratov Oblast,Саратовская область,Saratov region,2019,2020,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
15,Гринев Александр Евгеньевич,Grinyov Alexander Evegenievich,Прокурор региона,region prosecutor,Вологодская область,Vologda Region,2017,male,1967,53,Орловская область,Oryol Region,Орел,Oryol,Национальный юридический университет имени Ярослава Мудрого (Харьковский юридический институт),National University of Law named after Yaroslav the Wise (Kharkov Law Institute),1987,специалист,specialist,Прокуратура Орловской области,The prosecutor's office of the Oryol region,Орловская область,Oryol Region,1987,2008,Прокурор Северного района,Attorney Northern District,,,https://prokvologda.ru/upload/medialibrary/2fd/%D0%93%D1%80%D0%B8%D0%BD%D0%B5%D0%B2%20%D0%90.%D0%95.DSC_4980.jpg,"2 732 382,58","1 256 021,11",,1,,
112,Гринь Виктор Яковлевич,Grin Viktor Yakovlevich,Заместитель генерального прокурора,Deputy Prosecutor General,Генеральная прокуратура,General prosecutor's Office,2006,male,1951,69,Омская область,Omsk region,Новоалексеевка Москаленского района,Novoalekseevka Moskalensky District,Уральская государственная юридическая Академия (Свердловский юридический институт),Ural State Law Academy (Sverdlovsk Law Institute),1976,специалист,specialist,прокуратура Омской области,Omsk region prosecutor's office,Омская область,Omsk region,1976,2000,первый заместитель прокурора,First Deputy Prosecutor,,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Victor_Grin.jpg/440px-Victor_Grin.jpg,"5 416 588,00","231 702,00",1,,"Дело о подмосковных казино. Конфронтация с СК и Бастрыкиным. Как и Буксман, подал в отставку но доработает до пенсии до 2021 года",
46,,,,,,,,,,,,,,,,,,,,Прокуратура Нижегородской области,The prosecutor's office of Nizhny Novgorod Region,Нижегородская область,Nizhny Novgorod Region,2008,2013,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,Прокуратура Дагестана,The prosecutor's office of Dagestan,Дагестан,Dagestan,2013,2018,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
131,Грунис Денис Евгеньевич,Grunis Denis Evgenievich,старший помощник Генерального прокурора по особым поручениям,Senior Assistant Prosecutor General for Special Assignments,Генеральная прокуратура,General prosecutor's Office,2017,male,1977,43,Татарстан,Tatarstan,Бугульма,Bugulma,Московский государственный институт международных отношений,Moscow State Institute of International Relations,1999,специалист,specialist,Прокуратура Москвы,Moscow Prosecutor's Office,Москва,Moscow,2000,2002,"должности следователя Кузьминской межрайонной прокуратуры г. Москвы, прокурора отдела по надзору за исполнением законов в социальной сфере управления по надзору за исполнением законов и законностью правовых актов прокуратуры г. Москвы.","an investigator Kuzminskaya interdistrict prosecutor's office in Moscow, the prosecutor of Department for Supervision over the implementation of laws in the field of social management to oversee the implementation of laws and legality of legal acts of the prosecutor's office in Moscow.",,,https://whoiswhopersona.info/wp-content/uploads/2016/09/%D0%93%D1%80%D1%83%D0%BD%D0%B8%D1%81-%D0%94%D0%B5%D0%BD%D0%B8%D1%81-%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B8%D1%87.jpg,"3 862 308,00","3 153 180,00",1,,,
47,,,,,,,,,,,,,,,,,,,,Прокуратура Белгородской области,The prosecutor's office of the Belgorod region,Белгородская область,Belgorod region,2006,2009,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,Прокуратура Курской области,The prosecutor's office of Kursk region,Курская область,Kursk region,2009,2017,Прокурор региона,region prosecutor,,,,,,,,,
16,Гулягин Александр Юрьевич,Gulyagin Alexander Yuryevich,Прокурор региона,region prosecutor,Воронежская область,Voronezh region,2019,male,1978,42,Хабаровский край,Khabarovsk region,Бикин,Bikin,Дальневосточный юридический институт МВД,Far Eastern Law Institute of the Ministry of Interior,1999,доктор юридических наук,LL.D.,Прокуратура Хабаровского края,The prosecutor's office of the Khabarovsk Territory,Хабаровский край,Khabarovsk region,1999,2008,Прокурор Центрального района,Central District Prosecutor,,,https://communa.ru/upload/iblock/dd0/%D0%93%D1%83%D0%BB%D1%8F%D0%B3%D0%B8%D0%BD%20%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%20%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87%207777.jpg,"3 553 215,88","560 756,31",1,,"Сын Юрия Гулягина, который работает в Генпрокуратуре",Son of Gulyagin Yuri who also works for General Prosecutors Office (family nepotism)
48,,,,,,,,,,,,,,,,,,,,Прокуратура Тульской области,The prosecutor's office in Tula region,Тульская область,Tula region,2012,2015,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,Прокуратура Хакасии,The Prosecutor's Office of Khakassia,Хакасия,Khakassia,2015,2018,Прокурор региона,region prosecutor,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,Прокуратура Дагестана,The prosecutor's office of Dagestan,Дагестан,Dagestan,2018,2019,Прокурор региона,region prosecutor,,,,,,,,,
175,Гулягин Юрий Александрович,Gulyagin Yuri Alexandrovich,заместитель Генерального прокурора,Deputy Prosecutor General,Генеральная прокуратура,General prosecutor's Office,2006,male,1956,64,Свердловская область,Sverdlovsk region,Дегтярск,Degtyarsk,Московский государственный юридический университет (Всесоюзный юридический заочный институт),Moscow State Law University (All-Union Correspondence Institute of Law),1984,специалист,specialist,Прокуратура Хабаровского края,The prosecutor's office of the Khabarovsk Territory,Хабаровский край,Khabarovsk region,1985,1999,заместителя начальника международно-правового управления,Deputy Head of the International Law Department,,1,https://ruspekh.ru/images/avatar/50995.jpg?actual=2020-03-25_02:10:36,"11 279 840,00","212 629,00",,1,,
49,,,,,,,,,,,,,,,,,,,,Генеральная прокуратура,General prosecutor's Office,Москва,Moscow,2004,2006,Прокурор отдела,department of Attorney,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,Следственный комитет,investigative committee,Москва,Moscow,2006,2007,Прокурор отдела,department of Attorney,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,Следственный комитет,investigative committee,Москва,Moscow,2007,2010,Руководитель Московского межрегионального следственного управления на транспорте,The head of the Moscow Interregional Investigation Department of transport,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,2012,2015,Прокурор Новомосковского округа,Novomoskovsk district attorney,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,2015,2017,Прокурор Красногорска,Attorney Krasnogorsk,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,2017,2019,межрегиональный транспортный прокурор,interregional transport prosecutor,,,,,,,,,
102,Гуришев Андрей Вячеславович,Gurishev Andrei Vyacheslvovich,Начальник управления,Head of Depatment,Генеральная прокуратура,General prosecutor's Office,2019,male,1973,47,Ленинградская область,Leningrad region,Санкт-Петербург,St. Petersburg,Санкт-Петербургский государственный университет (Ленинградский государственный университет),Saint Petersburg State University (Leningrad State University),2001,специалист,specialist,Прокуратура Санкт-Петербурга,The prosecutor's office of St. Petersburg,Санкт-Петербург,St. Petersburg,2001,2011,заместитель прокурора региона,Deputy Attorney region,,,https://storage.myseldon.com/news_pict_78/7897A1B060B146B95597D2A754AAAC99,"3 838 474,00","718 150,00",1,,,
50,,,,,,,,,,,,,,,,,,,,Прокуратура Ставропольского края,The prosecutor's office of the Stavropol Territory,Ставропольский край,Stavropol region,1993,2004,"Прокурор Новоселицкого, Труновского районов, города Невинномысска","Attorney Novoselitsk, Trunovskogo areas Nevinnomyssk",,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,Прокуратура Ставропольского края,The prosecutor's office of the Stavropol Territory,Ставропольский край,Stavropol region,2004,2015,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
116,Демешин Дмитрий Викторович,Demeshin Dmitry Viktorovich,Начальник управления,Head of Department,Управление Генеральной прокуратуры Российской Федерации в Дальневосточном Федеральном Округе,Office of the Prosecutor General of the Russian Federation in the Far Eastern Federal District,2020,male,1976,44,Узбекистан,Uzbekistan,Ташкент,Tashkent,Саратовская государственная академия права (Саратовский юридический институт),Saratov State Academy of Law (Saratov Law Institute),1997,специалист,specialist,Прокуратура Московской области,The prosecutor's office of Moscow region,Московская область,Moscow region,1997,2008,"Прокуратура Коломны, Щелково, Мытищ","The prosecutor's office in Kolomna, Shchelkovo, Mytischi",,,https://ruspekh.ru/images/avatar/52817.jpg?actual=2020-03-27_02:10:33,"6 257 656,00","889 010,00",1,,,
51,,,,,,,,,,,,,,,,,,,,Прокуратура Ленинградской области,The prosecutor's office of the Leningrad Region,Санкт-Петербург,St. Petersburg,2008,2013,Первый заместитель прокурора региона,The first deputy prosecutor of the region,,,,,,,,,
18,Джанхотов Заурбек Магометович,Dzhanhotov Zaurbek Magometovich,Прокурор региона,region prosecutor,Еврейская автономная область,Jewish Autonomous Region,2017,male,1975,45,Чечено-Ингушская АССР,Chechen-Ingush Autonomous Soviet Socialist Republic,Грозный ,Grozny,Российский новый университет,Russian New University,1998,специалист,specialist,Прокуратура Ингушетии,The prosecutor's office in Ingushetia,Ингушетия,Ingushetia,2001,2009,Прокурор Сунженского района,The prosecutor of the Sunzha district,,,https://prokuror-eao.ru/wp-content/uploads/2018/07/bez-pechati1sht-52-bez-pechati1sht-103-GL4Q0132.jpg,"4 085 074,00","3 317,00",1,,,
52,,,,,,,,,,,,,,,,,,,,Прокуратура Чувашии,The prosecutor's office Chuvashia,Чувашия,Chuvashia,2002,2003,Заместитель прокурора региона,The deputy prosecutor of the region,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,Управление Генеральной прокуратуры в Приволжском федеральном округе,General Prosecutor's Office of the Volga Federal District,Нижегородская область,Nizhny Novgorod Region,2003,2015,Глава управления,Head of management,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,Прокуратура Пермского края,The Prosecutor's Office of the Perm region,Пермский край,Perm,2015,2018,Прокурор региона,region prosecutor,,,,,,,,,
